Severity,Code,Golden_ID,Related_Golden_ID,Field,Current_Value,Suggested_Value,Message
WARN,GENERIC_EVIDENCE,GOLD-0083,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0084,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0084,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0084,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0085,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0085,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0085,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0086,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0086,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0086,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0087,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0088,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0089,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0089,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0089,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0090,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0090,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0090,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0091,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0092,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0092,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
